,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
786,2004-10-06 00:00:00,Casa,Venta,Barcelona,279.0,2064879.0,2005-05-07 00:00:00,María
787,2004-10-07 00:00:00,Casa,Venta,Girona,92.0,853852.0,2005-09-25 00:00:00,Carmen
788,2004-10-07 00:00:00,Piso,Venta,Barcelona,251.0,1781849.0,2005-07-23 00:00:00,Luisa
791,2004-10-08 00:00:00,Piso,Venta,Tarragona,292.0,1565120.0,2005-10-02 00:00:00,Joaquín
793,2004-10-10 00:00:00,Oficina,Venta,Tarragona,277.0,1522946.0,2005-03-09 00:00:00,Joaquín
795,2004-10-10 00:00:00,Casa,Alquiler,Lleida,110.0,950290.0,2005-06-08 00:00:00,Carmen
796,2004-10-11 00:00:00,Oficina,Venta,Barcelona,255.0,1442280.0,2005-05-04 00:00:00,Jesús
797,2004-10-11 00:00:00,Piso,Venta,Girona,222.0,1478742.0,2005-09-24 00:00:00,Jesús
798,2004-10-11 00:00:00,Suelo,Alquiler,Tarragona,278.0,2209822.0,2005-02-27 00:00:00,Jesús
800,2004-10-13 00:00:00,Local,Alquiler,Tarragona,159.0,1323198.0,2005-08-26 00:00:00,Jesús
801,2004-10-13 00:00:00,Suelo,Venta,Lleida,114.0,1106028.0,2005-02-27 00:00:00,María
802,2004-10-13 00:00:00,Local,Alquiler,Tarragona,163.0,1115409.0,2005-03-14 00:00:00,María
804,2004-10-14 00:00:00,Piso,Alquiler,Barcelona,243.0,1469178.0,2005-02-18 00:00:00,Pedro
806,2004-10-15 00:00:00,Suelo,Alquiler,Tarragona,259.0,1891736.0,2005-07-18 00:00:00,María
808,2004-10-15 00:00:00,Casa,Venta,Tarragona,222.0,1292484.0,2005-10-01 00:00:00,Pedro
809,2004-10-15 00:00:00,Industrial,Venta,Barcelona,51.0,334305.0,2005-09-25 00:00:00,Carmen
810,2004-10-16 00:00:00,Industrial,Venta,Lleida,214.0,1805518.0,2005-08-30 00:00:00,Carmen
811,2004-10-16 00:00:00,Oficina,Venta,Tarragona,236.0,2208252.0,2005-04-21 00:00:00,Pedro
813,2004-10-17 00:00:00,Oficina,Alquiler,Barcelona,192.0,1627200.0,2005-01-27 00:00:00,Luisa
814,2004-10-17 00:00:00,Industrial,Venta,Tarragona,182.0,1690416.0,2005-09-04 00:00:00,Pedro
815,2004-10-18 00:00:00,Parking,Alquiler,Barcelona,232.0,2180104.0,2005-07-19 00:00:00,Joaquín
819,2004-10-19 00:00:00,Piso,Alquiler,Tarragona,206.0,1688170.0,2005-07-17 00:00:00,Jesús
820,2004-10-19 00:00:00,Parking,Venta,Girona,161.0,1392006.0,2005-07-12 00:00:00,María
821,2004-10-20 00:00:00,Industrial,Venta,Tarragona,259.0,1628333.0,2005-08-09 00:00:00,María
822,2004-10-20 00:00:00,Parking,Venta,Lleida,177.0,992793.0,2005-03-20 00:00:00,Carmen
825,2004-10-21 00:00:00,Oficina,Alquiler,Girona,239.0,1709567.0,2005-06-10 00:00:00,Jesús
826,2004-10-22 00:00:00,Industrial,Venta,Tarragona,149.0,1391809.0,2005-08-06 00:00:00,Pedro
827,2004-10-23 00:00:00,Industrial,Alquiler,Barcelona,199.0,1278774.0,2005-04-06 00:00:00,Pedro
828,2004-10-23 00:00:00,Local,Venta,Lleida,152.0,1218888.0,2005-03-04 00:00:00,Joaquín
829,2004-10-24 00:00:00,Local,Venta,Lleida,143.0,1409551.0,2005-04-23 00:00:00,Jesús
830,2004-10-24 00:00:00,Parking,Venta,Girona,115.0,880900.0,2005-07-04 00:00:00,Carmen
831,2004-10-24 00:00:00,Casa,Alquiler,Tarragona,87.0,574200.0,2005-05-19 00:00:00,Carmen
832,2004-10-24 00:00:00,Oficina,Alquiler,Lleida,212.0,1968632.0,2005-10-23 00:00:00,Pedro
834,2004-10-25 00:00:00,Parking,Venta,Lleida,168.0,1276800.0,2005-07-25 00:00:00,Carmen
835,2004-10-25 00:00:00,Suelo,Venta,Tarragona,274.0,2124596.0,2005-02-21 00:00:00,Carmen
836,2004-10-27 00:00:00,Local,Venta,Girona,127.0,1021334.0,2005-05-21 00:00:00,Joaquín
838,2004-10-27 00:00:00,Local,Venta,Lleida,109.0,1029178.0,2005-07-13 00:00:00,Joaquín
839,2004-10-27 00:00:00,Parking,Alquiler,Girona,114.0,1040478.0,2005-04-29 00:00:00,Carmen
840,2004-10-27 00:00:00,Piso,Venta,Girona,120.0,1061160.0,2005-04-13 00:00:00,Luisa
842,2004-10-30 00:00:00,Casa,Venta,Barcelona,175.0,1712725.0,2005-03-12 00:00:00,Carmen
844,2004-10-31 00:00:00,Industrial,Venta,Tarragona,280.0,1485680.0,2005-10-23 00:00:00,Luisa
845,2004-10-31 00:00:00,Suelo,Alquiler,Tarragona,246.0,2214984.0,2005-09-22 00:00:00,Joaquín
847,2004-10-31 00:00:00,Oficina,Alquiler,Tarragona,223.0,1566129.0,2005-04-06 00:00:00,Jesús
848,2004-11-01 00:00:00,Casa,Venta,Tarragona,120.0,1003320.0,2005-07-18 00:00:00,Carmen
849,2004-11-01 00:00:00,Piso,Alquiler,Girona,159.0,1391091.0,2005-06-16 00:00:00,Carmen
850,2004-11-01 00:00:00,Casa,Alquiler,Girona,157.0,1032118.0,2005-06-16 00:00:00,Luisa
851,2004-11-02 00:00:00,Casa,Alquiler,Girona,237.0,1768020.0,2005-04-27 00:00:00,Luisa
852,2004-11-02 00:00:00,Piso,Venta,Tarragona,246.0,1708716.0,2005-03-16 00:00:00,Jesús
853,2004-11-02 00:00:00,Piso,Alquiler,Lleida,299.0,2430272.0,2005-03-26 00:00:00,Carmen
854,2004-11-03 00:00:00,Suelo,Venta,Girona,223.0,1650200.0,2005-08-28 00:00:00,Carmen
856,2004-11-03 00:00:00,Industrial,Venta,Girona,238.0,2379048.0,2005-09-08 00:00:00,María
857,2004-11-03 00:00:00,Oficina,Alquiler,Lleida,251.0,1821758.0,2005-06-11 00:00:00,Luisa
859,2004-11-03 00:00:00,Piso,Venta,Lleida,288.0,2242656.0,2005-02-11 00:00:00,Jesús
862,2004-11-06 00:00:00,Oficina,Alquiler,Barcelona,246.0,2328636.0,2005-03-10 00:00:00,Luisa
865,2004-11-07 00:00:00,Parking,Venta,Girona,136.0,1054544.0,2005-09-18 00:00:00,María
868,2004-11-07 00:00:00,Parking,Alquiler,Lleida,183.0,1082079.0,2005-09-07 00:00:00,Carmen
869,2004-11-08 00:00:00,Industrial,Venta,Tarragona,245.0,1951180.0,2005-04-06 00:00:00,Luisa
871,2004-11-09 00:00:00,Piso,Alquiler,Girona,185.0,1390460.0,2005-08-29 00:00:00,Jesús
872,2004-11-09 00:00:00,Industrial,Alquiler,Lleida,295.0,2923155.0,2005-05-06 00:00:00,Luisa
874,2004-11-09 00:00:00,Oficina,Alquiler,Girona,147.0,1259202.0,2005-05-03 00:00:00,Pedro
876,2004-11-09 00:00:00,Oficina,Alquiler,Lleida,128.0,549120.0,2005-03-16 00:00:00,Carmen
877,2004-11-10 00:00:00,Industrial,Alquiler,Barcelona,145.0,1372135.0,2005-04-18 00:00:00,Pedro
878,2004-11-10 00:00:00,Oficina,Venta,Lleida,147.0,1070307.0,2005-07-10 00:00:00,Pedro
879,2004-11-11 00:00:00,Parking,Alquiler,Lleida,272.0,1542784.0,2005-06-24 00:00:00,Joaquín
880,2004-11-11 00:00:00,Casa,Alquiler,Lleida,113.0,645569.0,2005-06-10 00:00:00,Carmen
882,2004-11-11 00:00:00,Piso,Venta,Girona,266.0,1370964.0,2005-10-22 00:00:00,María
883,2004-11-11 00:00:00,Piso,Venta,Girona,125.0,590875.0,2005-09-20 00:00:00,Carmen
885,2004-11-12 00:00:00,Piso,Venta,Girona,133.0,1191281.0,2005-06-28 00:00:00,Joaquín
886,2004-11-13 00:00:00,Suelo,Alquiler,Barcelona,160.0,1356160.0,2005-11-08 00:00:00,Luisa
888,2004-11-13 00:00:00,Oficina,Alquiler,Lleida,236.0,1420012.0,2005-10-31 00:00:00,Pedro
889,2004-11-13 00:00:00,Oficina,Venta,Tarragona,165.0,1598520.0,2005-10-11 00:00:00,Pedro
890,2004-11-13 00:00:00,Casa,Venta,Girona,255.0,2543625.0,2005-08-29 00:00:00,Pedro
891,2004-11-14 00:00:00,Casa,Alquiler,Tarragona,226.0,2025638.0,2005-05-04 00:00:00,María
892,2004-11-14 00:00:00,Casa,Venta,Tarragona,228.0,1115604.0,2005-09-21 00:00:00,Pedro
894,2004-11-14 00:00:00,Industrial,Alquiler,Barcelona,229.0,1341024.0,2005-09-12 00:00:00,Jesús
895,2004-11-14 00:00:00,Piso,Alquiler,Tarragona,226.0,1340632.0,2005-09-24 00:00:00,Luisa
896,2004-11-15 00:00:00,Suelo,Alquiler,Lleida,64.0,581568.0,2005-02-15 00:00:00,Carmen
897,2004-11-15 00:00:00,Casa,Venta,Barcelona,258.0,2449452.0,2005-03-14 00:00:00,Jesús
899,2004-11-16 00:00:00,Casa,Alquiler,Barcelona,136.0,1072768.0,2005-04-02 00:00:00,Pedro
900,2004-11-16 00:00:00,Parking,Alquiler,Girona,294.0,1653456.0,2005-07-18 00:00:00,Pedro
901,2004-11-17 00:00:00,Oficina,Alquiler,Barcelona,294.0,2722146.0,2005-11-05 00:00:00,Joaquín
902,2004-11-17 00:00:00,Suelo,Alquiler,Tarragona,151.0,1029367.0,2005-05-05 00:00:00,Carmen
908,2004-11-18 00:00:00,Industrial,Venta,Tarragona,127.0,1204595.0,2005-04-15 00:00:00,Carmen
909,2004-11-19 00:00:00,Piso,Alquiler,Tarragona,197.0,1506853.0,2005-11-16 00:00:00,Jesús
910,2004-11-20 00:00:00,Local,Alquiler,Barcelona,135.0,1036665.0,2005-11-08 00:00:00,Pedro
911,2004-11-20 00:00:00,Suelo,Alquiler,Lleida,200.0,1967400.0,2005-08-30 00:00:00,Pedro
912,2004-11-20 00:00:00,Suelo,Alquiler,Lleida,250.0,1676500.0,2005-08-30 00:00:00,Pedro
914,2004-11-20 00:00:00,Oficina,Venta,Girona,285.0,1869885.0,2005-08-10 00:00:00,Jesús
915,2004-11-21 00:00:00,Piso,Alquiler,Lleida,155.0,1511095.0,2005-08-20 00:00:00,María
916,2004-11-21 00:00:00,Parking,Venta,Tarragona,263.0,1719757.0,2005-08-28 00:00:00,Pedro
917,2004-11-22 00:00:00,Industrial,Alquiler,Lleida,197.0,1662089.0,2005-06-29 00:00:00,Carmen
918,2004-11-22 00:00:00,Casa,Alquiler,Lleida,270.0,1311660.0,2005-10-11 00:00:00,María
919,2004-11-23 00:00:00,Industrial,Venta,Barcelona,137.0,1242042.0,2005-08-08 00:00:00,Luisa
920,2004-11-24 00:00:00,Suelo,Venta,Tarragona,163.0,1273030.0,2005-06-16 00:00:00,Luisa
921,2004-11-24 00:00:00,Oficina,Venta,Lleida,217.0,1238202.0,2005-05-11 00:00:00,Joaquín
922,2004-11-24 00:00:00,Suelo,Venta,Tarragona,257.0,1440742.0,2005-07-09 00:00:00,Carmen
923,2004-11-25 00:00:00,Parking,Alquiler,Girona,283.0,2213909.0,2005-05-10 00:00:00,Luisa
924,2004-11-25 00:00:00,Parking,Alquiler,Lleida,298.0,2039512.0,2005-10-11 00:00:00,Joaquín
925,2004-11-25 00:00:00,Suelo,Alquiler,Barcelona,298.0,2376550.0,2005-10-19 00:00:00,Luisa
926,2004-11-25 00:00:00,Suelo,Alquiler,Barcelona,151.0,709700.0,2005-03-16 00:00:00,Carmen
927,2004-11-26 00:00:00,Industrial,Alquiler,Barcelona,283.0,1615647.0,2005-06-06 00:00:00,Joaquín
928,2004-11-27 00:00:00,Local,Alquiler,Tarragona,73.0,410260.0,2005-10-29 00:00:00,Carmen
929,2004-11-27 00:00:00,Local,Venta,Tarragona,161.0,1604687.0,2005-03-05 00:00:00,Luisa
930,2004-11-27 00:00:00,Suelo,Venta,Lleida,223.0,2053384.0,2005-11-13 00:00:00,Carmen
933,2004-11-29 00:00:00,Casa,Alquiler,Girona,228.0,2212740.0,2005-10-10 00:00:00,Jesús
934,2004-11-30 00:00:00,Oficina,Alquiler,Lleida,164.0,1373008.0,2005-06-09 00:00:00,Pedro
936,2004-12-01 00:00:00,Industrial,Alquiler,Girona,276.0,1932552.0,2005-10-20 00:00:00,María
938,2004-12-01 00:00:00,Industrial,Alquiler,Girona,216.0,1962360.0,2005-05-17 00:00:00,Pedro
939,2004-12-02 00:00:00,Industrial,Venta,Barcelona,249.0,1662822.0,2005-07-11 00:00:00,Luisa
941,2004-12-02 00:00:00,Industrial,Alquiler,Tarragona,177.0,1485915.0,2005-04-29 00:00:00,Carmen
942,2004-12-03 00:00:00,Piso,Venta,Tarragona,268.0,1273000.0,2005-06-16 00:00:00,Carmen
943,2004-12-03 00:00:00,Piso,Alquiler,Girona,66.0,558030.0,2005-12-01 00:00:00,Carmen
945,2004-12-04 00:00:00,Piso,Venta,Girona,243.0,1447551.0,2005-09-13 00:00:00,Pedro
946,2004-12-04 00:00:00,Suelo,Venta,Lleida,103.0,474624.0,2005-03-25 00:00:00,Carmen
947,2004-12-05 00:00:00,Piso,Alquiler,Girona,237.0,1725597.0,2005-07-07 00:00:00,Pedro
948,2004-12-05 00:00:00,Parking,Alquiler,Barcelona,206.0,1241562.0,2005-07-27 00:00:00,María
949,2004-12-05 00:00:00,Piso,Venta,Girona,233.0,2153852.0,2005-03-11 00:00:00,Pedro
950,2004-12-06 00:00:00,Oficina,Venta,Barcelona,65.0,307255.0,2005-10-11 00:00:00,Carmen
952,2004-12-07 00:00:00,Casa,Alquiler,Girona,240.0,1510320.0,2005-10-19 00:00:00,Carmen
954,2004-12-09 00:00:00,Suelo,Venta,Girona,200.0,1938400.0,2005-08-25 00:00:00,María
955,2004-12-09 00:00:00,Piso,Venta,Tarragona,80.0,509840.0,2005-05-21 00:00:00,Carmen
957,2004-12-10 00:00:00,Local,Alquiler,Tarragona,227.0,1071667.0,2005-05-26 00:00:00,Carmen
958,2004-12-10 00:00:00,Parking,Venta,Tarragona,291.0,1872876.0,2005-05-16 00:00:00,María
959,2004-12-10 00:00:00,Suelo,Venta,Girona,275.0,1732500.0,2005-07-10 00:00:00,Joaquín
960,2004-12-10 00:00:00,Parking,Alquiler,Girona,96.0,535584.0,2005-10-22 00:00:00,Carmen
961,2004-12-10 00:00:00,Oficina,Alquiler,Barcelona,174.0,1271592.0,2005-07-13 00:00:00,Joaquín
962,2004-12-11 00:00:00,Local,Venta,Lleida,190.0,1593720.0,2005-05-28 00:00:00,Pedro
963,2004-12-11 00:00:00,Suelo,Venta,Girona,185.0,1038590.0,2005-07-15 00:00:00,Luisa
965,2004-12-11 00:00:00,Piso,Alquiler,Lleida,213.0,1994532.0,2005-04-22 00:00:00,María
966,2004-12-12 00:00:00,Piso,Venta,Girona,175.0,722925.0,2005-03-18 00:00:00,Carmen
968,2004-12-14 00:00:00,Piso,Venta,Lleida,272.0,2581552.0,2005-10-22 00:00:00,Pedro
969,2004-12-14 00:00:00,Piso,Alquiler,Girona,232.0,1193408.0,2005-06-07 00:00:00,Luisa
970,2004-12-14 00:00:00,Piso,Venta,Lleida,200.0,1145600.0,2005-09-22 00:00:00,María
971,2004-12-14 00:00:00,Piso,Venta,Girona,219.0,1059303.0,2005-07-27 00:00:00,Joaquín
975,2004-12-16 00:00:00,Local,Alquiler,Barcelona,232.0,1236560.0,2005-11-20 00:00:00,Pedro
976,2004-12-16 00:00:00,Suelo,Alquiler,Barcelona,199.0,1494490.0,2005-04-04 00:00:00,Joaquín
980,2004-12-18 00:00:00,Local,Venta,Girona,278.0,2273762.0,2005-11-30 00:00:00,Pedro
981,2004-12-19 00:00:00,Casa,Alquiler,Barcelona,212.0,1588940.0,2005-08-29 00:00:00,Carmen
982,2004-12-19 00:00:00,Oficina,Alquiler,Barcelona,250.0,1127750.0,2005-04-04 00:00:00,Luisa
983,2004-12-19 00:00:00,Suelo,Alquiler,Lleida,278.0,1678286.0,2005-04-20 00:00:00,Jesús
984,2004-12-20 00:00:00,Piso,Alquiler,Barcelona,270.0,2427300.0,2005-09-06 00:00:00,Pedro
985,2004-12-20 00:00:00,Suelo,Alquiler,Lleida,212.0,1753240.0,2005-05-14 00:00:00,Joaquín
986,2004-12-21 00:00:00,Industrial,Venta,Lleida,258.0,1894752.0,2005-08-21 00:00:00,Carmen
987,2004-12-21 00:00:00,Casa,Alquiler,Tarragona,225.0,2000475.0,2005-07-12 00:00:00,Jesús
989,2004-12-21 00:00:00,Industrial,Venta,Barcelona,182.0,1717898.0,2005-04-24 00:00:00,Pedro
990,2004-12-21 00:00:00,Oficina,Venta,Barcelona,233.0,1870757.0,2005-10-13 00:00:00,Luisa
991,2004-12-22 00:00:00,Piso,Alquiler,Girona,281.0,2326118.0,2005-07-22 00:00:00,María
992,2004-12-22 00:00:00,Industrial,Venta,Tarragona,201.0,1911510.0,2005-06-23 00:00:00,Luisa
993,2004-12-22 00:00:00,Local,Venta,Girona,187.0,1346961.0,2005-12-20 00:00:00,Joaquín
994,2004-12-22 00:00:00,Oficina,Venta,Tarragona,180.0,1414800.0,2005-05-29 00:00:00,Joaquín
995,2004-12-23 00:00:00,Parking,Alquiler,Girona,88.0,690184.0,2005-05-29 00:00:00,Carmen
997,2004-12-23 00:00:00,Local,Venta,Girona,219.0,2101743.0,2005-07-30 00:00:00,Luisa
999,2004-12-24 00:00:00,Parking,Venta,Lleida,300.0,2707200.0,2005-10-15 00:00:00,Luisa
1000,2004-12-25 00:00:00,Local,Venta,Barcelona,250.0,1368750.0,2005-06-07 00:00:00,Luisa
1001,2004-12-25 00:00:00,Piso,Alquiler,Barcelona,292.0,2677056.0,2005-07-22 00:00:00,María
1004,2004-12-26 00:00:00,Oficina,Alquiler,Girona,159.0,1437360.0,2005-06-12 00:00:00,Luisa
1005,2004-12-26 00:00:00,Suelo,Venta,Lleida,215.0,1706240.0,2005-04-25 00:00:00,Pedro
1007,2004-12-27 00:00:00,Casa,Venta,Lleida,121.0,622787.0,2005-05-02 00:00:00,Carmen
1008,2004-12-27 00:00:00,Piso,Alquiler,Tarragona,222.0,1266732.0,2005-06-23 00:00:00,Pedro
1011,2004-12-30 00:00:00,Oficina,Venta,Tarragona,173.0,1008071.0,2005-07-21 00:00:00,Jesús
1012,2004-12-31 00:00:00,Oficina,Venta,Barcelona,191.0,1657880.0,2005-09-06 00:00:00,Pedro
1013,2004-12-31 00:00:00,Casa,Venta,Barcelona,146.0,1457226.0,2005-11-05 00:00:00,María
1014,2004-12-31 00:00:00,Local,Alquiler,Barcelona,168.0,1508472.0,2005-12-03 00:00:00,Luisa
1015,2005-01-01 00:00:00,Parking,Alquiler,Barcelona,142.0,1276864.0,2005-10-24 00:00:00,María
1016,2005-01-01 00:00:00,Parking,Venta,Girona,217.0,2101862.0,2005-10-23 00:00:00,Carmen
1017,2005-01-01 00:00:00,Local,Alquiler,Barcelona,269.0,1360064.0,2005-08-17 00:00:00,Jesús
1019,2005-01-02 00:00:00,Industrial,Alquiler,Lleida,201.0,1176855.0,2005-10-07 00:00:00,María
1021,2005-01-03 00:00:00,Piso,Alquiler,Tarragona,237.0,1177653.0,2005-11-10 00:00:00,Joaquín
1023,2005-01-03 00:00:00,Piso,Alquiler,Barcelona,172.0,1615424.0,2005-11-19 00:00:00,Carmen
1024,2005-01-04 00:00:00,Industrial,Alquiler,Tarragona,216.0,2022624.0,2005-05-07 00:00:00,Jesús
1025,2005-01-04 00:00:00,Parking,Alquiler,Barcelona,206.0,1231262.0,2005-07-10 00:00:00,Luisa
1028,2005-01-05 00:00:00,Piso,Alquiler,Lleida,269.0,1089181.0,2005-07-25 00:00:00,Joaquín
1029,2005-01-05 00:00:00,Piso,Alquiler,Tarragona,221.0,1194505.0,2005-12-12 00:00:00,María
1030,2005-01-05 00:00:00,Industrial,Alquiler,Barcelona,143.0,1106677.0,2005-08-08 00:00:00,María
1031,2005-01-06 00:00:00,Industrial,Alquiler,Barcelona,170.0,1262250.0,2005-11-29 00:00:00,Luisa
1032,2005-01-06 00:00:00,Casa,Alquiler,Lleida,171.0,1236672.0,2005-06-07 00:00:00,Luisa
1034,2005-01-07 00:00:00,Industrial,Venta,Barcelona,252.0,2398788.0,2005-11-19 00:00:00,Jesús
1035,2005-01-07 00:00:00,Local,Venta,Lleida,180.0,1636560.0,2005-08-31 00:00:00,Luisa
1036,2005-01-08 00:00:00,Industrial,Venta,Lleida,271.0,2496723.0,2005-12-12 00:00:00,Jesús
1037,2005-01-08 00:00:00,Piso,Alquiler,Girona,59.0,325326.0,2005-04-09 00:00:00,Carmen
1038,2005-01-09 00:00:00,Casa,Alquiler,Lleida,264.0,1441440.0,2005-10-28 00:00:00,Pedro
1039,2005-01-09 00:00:00,Local,Venta,Barcelona,162.0,1315440.0,2005-09-16 00:00:00,Jesús
1040,2005-01-09 00:00:00,Local,Alquiler,Tarragona,286.0,1732302.0,2005-08-26 00:00:00,Joaquín
1042,2005-01-11 00:00:00,Suelo,Alquiler,Tarragona,186.0,1844004.0,2005-06-19 00:00:00,Pedro
1043,2005-01-11 00:00:00,Piso,Alquiler,Tarragona,217.0,1603196.0,2005-12-11 00:00:00,Joaquín
1044,2005-01-11 00:00:00,Parking,Alquiler,Girona,260.0,2402920.0,2005-10-09 00:00:00,Joaquín
1045,2005-01-11 00:00:00,Suelo,Alquiler,Girona,240.0,1823280.0,2005-09-04 00:00:00,Luisa
1047,2005-01-12 00:00:00,Casa,Alquiler,Barcelona,279.0,2362572.0,2005-09-25 00:00:00,Luisa
1049,2005-01-12 00:00:00,Casa,Venta,Tarragona,120.0,703680.0,2005-09-16 00:00:00,Carmen
1050,2005-01-12 00:00:00,Parking,Venta,Lleida,246.0,1940448.0,2005-10-08 00:00:00,Pedro
1053,2005-01-14 00:00:00,Oficina,Alquiler,Barcelona,251.0,2138771.0,2005-05-15 00:00:00,Carmen
1054,2005-01-14 00:00:00,Local,Alquiler,Lleida,149.0,1250408.0,2005-10-30 00:00:00,Pedro
1055,2005-01-15 00:00:00,Suelo,Alquiler,Girona,45.0,300105.0,2005-06-02 00:00:00,Carmen
1057,2005-01-15 00:00:00,Parking,Venta,Barcelona,221.0,1919827.0,2006-01-06 00:00:00,Joaquín
1062,2005-01-19 00:00:00,Oficina,Venta,Barcelona,213.0,1886541.0,2005-09-05 00:00:00,Jesús
1063,2005-01-19 00:00:00,Piso,Alquiler,Girona,80.0,607200.0,2005-11-20 00:00:00,Carmen
1064,2005-01-19 00:00:00,Industrial,Alquiler,Lleida,200.0,1502800.0,2005-10-14 00:00:00,Joaquín
1065,2005-01-20 00:00:00,Suelo,Venta,Girona,287.0,2808008.0,2005-06-24 00:00:00,Pedro
1067,2005-01-21 00:00:00,Parking,Venta,Barcelona,221.0,1471197.0,2005-10-17 00:00:00,Joaquín
1068,2005-01-21 00:00:00,Local,Venta,Tarragona,108.0,1065744.0,2005-05-03 00:00:00,Pedro
1069,2005-01-21 00:00:00,Parking,Venta,Lleida,232.0,1162784.0,2005-08-23 00:00:00,Pedro
1070,2005-01-21 00:00:00,Parking,Venta,Girona,118.0,1134452.0,2005-04-27 00:00:00,Carmen
1071,2005-01-22 00:00:00,Piso,Alquiler,Girona,132.0,592152.0,2005-04-23 00:00:00,Carmen
1072,2005-01-22 00:00:00,Oficina,Alquiler,Tarragona,246.0,2083866.0,2005-07-25 00:00:00,Luisa
1073,2005-01-22 00:00:00,Industrial,Alquiler,Lleida,293.0,2141830.0,2005-09-19 00:00:00,Joaquín
1074,2005-01-23 00:00:00,Parking,Alquiler,Barcelona,290.0,2275050.0,2005-09-20 00:00:00,Jesús
1076,2005-01-23 00:00:00,Local,Alquiler,Barcelona,212.0,1911604.0,2006-01-14 00:00:00,María
1077,2005-01-24 00:00:00,Oficina,Alquiler,Barcelona,254.0,1850644.0,2005-11-28 00:00:00,Carmen
1079,2005-01-24 00:00:00,Local,Alquiler,Lleida,287.0,2279354.0,2005-12-15 00:00:00,Joaquín
1080,2005-01-24 00:00:00,Piso,Alquiler,Barcelona,180.0,1128420.0,2005-10-13 00:00:00,Carmen
1081,2005-01-25 00:00:00,Oficina,Venta,Tarragona,173.0,1615128.0,2005-05-06 00:00:00,Carmen
1082,2005-01-25 00:00:00,Oficina,Alquiler,Tarragona,210.0,1332030.0,2006-01-02 00:00:00,Carmen
1083,2005-01-25 00:00:00,Parking,Alquiler,Girona,287.0,1370138.0,2005-05-03 00:00:00,Joaquín
1085,2005-01-25 00:00:00,Piso,Alquiler,Lleida,260.0,2546180.0,2005-05-23 00:00:00,Carmen
1086,2005-01-26 00:00:00,Parking,Alquiler,Tarragona,197.0,1199730.0,2006-01-13 00:00:00,Luisa
1088,2005-01-27 00:00:00,Industrial,Venta,Barcelona,168.0,1081248.0,2005-06-01 00:00:00,Carmen
1089,2005-01-28 00:00:00,Local,Alquiler,Barcelona,253.0,1816793.0,2005-10-22 00:00:00,Pedro
1091,2005-01-29 00:00:00,Piso,Alquiler,Tarragona,299.0,2130375.0,2005-10-28 00:00:00,Carmen
1092,2005-01-31 00:00:00,Parking,Alquiler,Girona,222.0,2209344.0,2005-09-09 00:00:00,Carmen
1093,2005-02-01 00:00:00,Piso,Venta,Barcelona,139.0,1187477.0,2005-05-31 00:00:00,Carmen
1094,2005-02-01 00:00:00,Local,Venta,Barcelona,300.0,1772700.0,2006-01-03 00:00:00,María
1097,2005-02-01 00:00:00,Suelo,Venta,Barcelona,262.0,1960808.0,2005-09-11 00:00:00,Pedro
1099,2005-02-02 00:00:00,Piso,Alquiler,Tarragona,243.0,1814238.0,2006-01-29 00:00:00,Jesús
1101,2005-02-02 00:00:00,Casa,Venta,Tarragona,268.0,1950772.0,2005-06-02 00:00:00,Joaquín
1104,2005-02-03 00:00:00,Parking,Alquiler,Tarragona,97.0,541648.0,2005-06-11 00:00:00,Carmen
1105,2005-02-04 00:00:00,Oficina,Venta,Girona,141.0,1279434.0,2005-09-26 00:00:00,Carmen
1106,2005-02-05 00:00:00,Suelo,Alquiler,Tarragona,105.0,650580.0,2005-05-26 00:00:00,Carmen
1107,2005-02-05 00:00:00,Industrial,Alquiler,Lleida,199.0,1009328.0,2005-12-04 00:00:00,Pedro
1108,2005-02-05 00:00:00,Parking,Alquiler,Tarragona,286.0,2064634.0,2005-05-26 00:00:00,Carmen
1111,2005-02-06 00:00:00,Industrial,Alquiler,Barcelona,210.0,1602300.0,2005-06-26 00:00:00,Pedro
1112,2005-02-06 00:00:00,Parking,Venta,Tarragona,157.0,1323353.0,2005-07-25 00:00:00,Luisa
1116,2005-02-08 00:00:00,Casa,Alquiler,Girona,154.0,1037498.0,2005-09-20 00:00:00,Luisa
1117,2005-02-09 00:00:00,Parking,Alquiler,Lleida,293.0,2741308.0,2005-10-20 00:00:00,María
1118,2005-02-10 00:00:00,Local,Alquiler,Barcelona,286.0,1912482.0,2005-11-26 00:00:00,Pedro
1119,2005-02-10 00:00:00,Local,Venta,Girona,180.0,1707660.0,2005-07-28 00:00:00,Joaquín
1120,2005-02-10 00:00:00,Piso,Venta,Lleida,176.0,1592624.0,2005-05-20 00:00:00,Carmen
1121,2005-02-11 00:00:00,Piso,Venta,Girona,228.0,1339044.0,2005-12-14 00:00:00,Pedro
1123,2005-02-11 00:00:00,Piso,Venta,Girona,208.0,1215344.0,2005-05-27 00:00:00,Jesús
1124,2005-02-13 00:00:00,Casa,Alquiler,Tarragona,245.0,2287075.0,2006-01-31 00:00:00,Luisa
1127,2005-02-14 00:00:00,Parking,Venta,Barcelona,229.0,1859480.0,2006-01-06 00:00:00,Joaquín
1129,2005-02-15 00:00:00,Casa,Alquiler,Barcelona,58.0,444338.0,2005-06-04 00:00:00,Carmen
